address,name_ru,avg_rating,rubrics,lat,lon,geocode_status
"Москва, Профсоюзная улица, 129А",Sportfood,3.0,"Спортивное питание;Фитопродукция, БАДы",55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Vikky,4.0,Массажный салон;Спа-салон;Салон красоты,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Атами,5.0,Магазин парфюмерии и косметики;Средства гигиены;Магазин хозтоваров и бытовой химии,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Берудиван,5.0,Магазин мебели;Мягкая мебель,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",5lb,5.0,"Спортивное питание;Фитопродукция, БАДы",55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 13/12",Траттория Да Чикко,4.909090909090909,Ресторан;Кафе;Пиццерия,55.6804559,37.5663319,success
"Москва, Профсоюзная улица, 132, корп. 9",ГБОУ Средняя общеобразовательная школа № 1507,5.0,Общеобразовательная школа,,,not_found
"Москва, Профсоюзная улица, 138",Верный,2.75,Магазин продуктов,55.627788,37.5120173,success
"Москва, Профсоюзная улица, 140",Пятёрочка,5.0,Супермаркет,55.6268902,37.5109656,success
"Москва, Профсоюзная улица, 142, корп. 1",Ассет Строй,5.0,Лакокрасочные материалы;Изоляционные материалы;Фасады и фасадные системы,,,not_found
